"cod","id","ano","econo_bov","AtvTotal","AtvCirc","PasCirc","PatLiq","CxOper","RecLiq","VrMerc","LAIR","LucroLiquido","LucroBruto","LiqBolsa"
"CRDE3","2063","2017","Consumo cíclico",221893,89677,10849,184271,8735,11488,71696,-3719,-4490,3239,0.00092
"CREM3","2014","2015","Saúde",828153,478956,347513,173971,13836,874403,525484,21333,25219,257311,7e-05
"CREM3","2014","2016","Saúde",636632,323852,315504,152546,-6149,741477,261968,10695,7883,223273,6e-05
"CREM3","2014","2017","Saúde",671562,394211,321445,168356,66315,652407,498748,18195,14368,202342,0.00032
"CRPG5","1139","2015","Materiais básicos",562292,388630,153443,341905,33984,422591,87950,-16556,-20908,31187,0.00016
"CRPG5","1139","2016","Materiais básicos",644348,426387,124703,421779,53155,484948,140153,90399,83999,66847,0.00095
"CRPG5","1139","2017","Materiais básicos",592604,382987,69336,428693,4467,112338,400524,8059,2761,20621,0.00364
"CARD3","2004","2015","Bens industriais",375979,84909,99560,171176,55888,463570,122916,25194,19010,103424,0.00415
"CARD3","2004","2016","Bens industriais",354459,96932,107073,193430,73644,465825,202203,47034,34907,121772,0.01092
"CARD3","2004","2017","Bens industriais",400562,134297,112221,223877,94189,486852,406470,61236,45199,136279,0.05769
"CVCB3","2331","2015","Consumo cíclico",2847910,2181916,1868679,569304,163837,881879,1808058,267553,171187,881879,0.11712
"CVCB3","2331","2016","Consumo cíclico",3328429,2639039,2347956,626693,160037,1063929,3148399,299598,177714,1063929,0.24779
"CVCB3","2331","2017","Consumo cíclico",4778368,3632800,2930510,794251,50570,1185145,6871905,341019,223892,1185145,0.41747
"CCPR3","2104","2015","Financeiro e outros",4856183,714275,516869,1200630,-271085,384293,1026978,84055,23308,253451,0.00045
"CCPR3","2104","2016","Financeiro e outros",4832899,578632,511928,1175680,157148,421251,1182218,44872,-21326,257566,0.00031
"CCPR3","2104","2017","Financeiro e outros",3639428,461742,331279,1161008,146647,446272,1062802,259169,174204,259475,0.00043
"CYRE3","1446","2015","Consumo cíclico",12729588,8438709,3037540,5887043,648988,4341184,2843108,690404,447800,1503079,0.58353
"CYRE3","1446","2016","Consumo cíclico",11879699,7916960,2276008,6013556,6233,3195310,3924670,318343,151352,1062523,0.58968
"CYRE3","1446","2017","Consumo cíclico",10401541,6640859,2203122,5924591,579420,2673770,5059400,54630,-95004,734513,0.52518
"DASA3","1962","2015","Saúde",4681796,1352144,748472,2789044,494329,2794399,3139982,53312,23813,768403,0.00613
"DASA3","1962","2016","Saúde",5124727,1531793,951824,2860034,841937,3040775,5480849,195388,94738,964574,0.00119
"DASA3","1962","2017","Saúde",6246487,1576451,1493379,3335463,653235,3399308,8533894,180528,131443,1160728,0.00016
"PNVL3","934","2015","Saúde",759967,539884,315609,344142,72556,1986026,1259065,62001,45268,451572,0.00323
"PNVL3","934","2016","Saúde",820973,590440,370484,381650,101603,2128732,2854129,72712,53059,520285,0.00351
"PNVL3","934","2017","Saúde",950172,705024,403768,426747,40885,2258246,1787206,73945,59798,536510,0.00146
"DIRR3","2135","2015","Consumo cíclico",3887452,2434863,668383,1645541,196772,1569577,513398,179498,123647,330483,0.10984
"DIRR3","2135","2016","Consumo cíclico",4089767,2518272,753276,1594183,125916,1358078,667197,20202,-11862,156299,0.08799
"DIRR3","2135","2017","Consumo cíclico",4141764,2351425,701791,1454964,38593,751857,827372,-120710,-143781,37458,0.13792
"DOHL4","520","2015","Consumo cíclico",644251,301090,58431,493466,17178,398264,283216,35935,28205,110167,0.00011
"DOHL4","520","2016","Consumo cíclico",641824,299558,39973,510885,45242,429173,421856,18944,15457,103786,6e-05
"DOHL4","520","2017","Consumo cíclico",672917,328445,51158,533809,12995,460013,350994,38008,34141,131653,0.00016
"DTCY3","1859","2015","Consumo cíclico",18994,5789,8705,2515,653,13603,25821,-436,-436,3833,2e-04
"DTCY3","1859","2016","Consumo cíclico",24604,12468,10705,2561,-2080,14915,28042,3,-117,6033,2e-04
"DTCY3","1859","2017","Consumo cíclico",24101,9877,15423,177,7267,16410,26484,4374,3170,5974,6e-05
"DAGB33","8011","2015","Consumo cíclico",41044598,7345992,6801216,12476634,1494265,21800963,25812145,-163106,-277137,12701307,0.15368
"DAGB33","8011","2016","Consumo cíclico",31758230,6373782,5484678,9803232,2413265,27490512,21830169,134953,-46185,16093540,0.09177
"DAGB33","8011","2017","Consumo cíclico",33913875,7532441,5930630,10625293,2396826,27301085,26463458,677804,196707,16223317,0.02933
"DTEX3","2109","2015","Materiais básicos",9008059,2767638,1296843,4532481,574484,3963214,3912166,106282,183497,1099801,0.33201
"DTEX3","2109","2016","Materiais básicos",9340796,3214706,1197206,4569507,450598,3909760,4687233,17843,23646,1009132,0.32761
"DTEX3","2109","2017","Materiais básicos",9465574,3023458,1551576,4715365,404698,3990866,6341615,215228,184875,1143769,0.37613
"ECOR3","1945","2015","Bens industriais",7860983,1118135,1727597,1582475,1161024,2900707,2832412,257733,108974,1280518,0.40783
"ECOR3","1945","2016","Bens industriais",6603407,1150717,1656701,499964,1100030,2828996,4585280,220112,-964622,1283561,0.6519
"ECOR3","1945","2017","Bens industriais",7815758,2139393,1759574,658623,1285785,3200704,6844532,756249,392486,1557547,0.63417
"EKTR4","1748","2015","Utilidade pública",6894061,2899505,2213407,1962445,657301,5578743,4238765,519125,371179,910032,8e-05
"EKTR4","1748","2016","Utilidade pública",6676133,2512019,2183529,1998294,1010255,4754980,3873248,477769,351688,738237,3e-05
"EKTR4","1748","2017","Utilidade pública",6453521,2239052,2365178,2030301,477760,5811495,4417711,537872,374425,882932,1e-04
"ELET3","243","2015","Utilidade pública",149645408,29437396,28099643,42092014,6980475,32588838,9034105,-14243546,-14441607,15597279,0.34316
"ELET3","243","2016","Utilidade pública",170499429,29272652,31138510,44203470,1888738,60748853,31671129,12024095,3425899,44537919,0.60037
"ELET3","243","2017","Utilidade pública",172975359,37358727,34186952,42339377,2385569,37876024,27051811,-200398,-1763805,22502386,0.71459
"LIPR3","1578","2015","Utilidade pública",172753,76151,13636,145007,-9126,0,575260,5936,5310,0,3e-05
"LIPR3","1578","2016","Utilidade pública",221079,61562,12041,188624,6149,0,639962,36389,35509,0,2e-05
"LIPR3","1578","2017","Utilidade pública",243351,106665,19445,201037,6480,0,622904,50314,39219,0,3e-05
